 TIME                    	DeaLPmout                	ColdPHm_c_out            	DeaHPmout                	HotPHm_c_out             	DeaLPTout                	ColdPhT_c_out            	DeaHPTout                	HotPhT_c_out             	
  +8.6125000000000000E+01	  +9.7169946280043194E+04	  +9.7169938369283904E+04	  +1.1230999881041696E+05	  +1.1231000000000000E+05	  +1.4794147637102893E+02	  +1.5740732732920114E+02	  +1.7752469990446349E+02	  +2.2836604384294463E+02	
  +8.6250000000000000E+01	  +9.7169948252807502E+04	  +9.7169938262235679E+04	  +1.1230999601116133E+05	  +1.1231000000000000E+05	  +1.4794147358039885E+02	  +1.5740732646944008E+02	  +1.7752470071548470E+02	  +2.2836604351388499E+02	
  +8.6375000000000000E+01	  +9.7169940373654696E+04	  +9.7169946280043194E+04	  +1.1231000453233316E+05	  +1.1231000000000000E+05	  +1.4794147329990318E+02	  +1.5740732608156998E+02	  +1.7752470082536468E+02	  +2.2836604487231256E+02	
  +8.6500000000000000E+01	  +9.7169939945659877E+04	  +9.7169948252807502E+04	  +1.1231000844711449E+05	  +1.1231000000000000E+05	  +1.4794147395993554E+02	  +1.5740732592546615E+02	  +1.7752469983223878E+02	  +2.2836604505151976E+02	
  +8.6625000000000000E+01	  +9.7169941394508933E+04	  +9.7169940373654696E+04	  +1.1231000042197312E+05	  +1.1231000000000000E+05	  +1.4794147262135371E+02	  +1.5740732547735385E+02	  +1.7752469966603684E+02	  +2.2836604366556597E+02	
  +8.6750000000000000E+01	  +9.7169934635286118E+04	  +9.7169939945659877E+04	  +1.1231000047712379E+05	  +1.1231000000000000E+05	  +1.4794147295666139E+02	  +1.5740732635073971E+02	  +1.7752470113700880E+02	  +2.2836604352747608E+02	
  +8.6875000000000000E+01	  +9.7169935703142575E+04	  +9.7169941394508933E+04	  +1.1231000132121894E+05	  +1.1231000000000000E+05	  +1.4794147304841198E+02	  +1.5740732616622012E+02	  +1.7752470073848582E+02	  +2.2836604377985367E+02	
  +8.7000000000000000E+01	  +9.7169938369283904E+04	  +9.7169934635286118E+04	  +1.1230999401254101E+05	  +1.1231000000000000E+05	  +1.4794147284780752E+02	  +1.5740732579420850E+02	  +1.7752470007633929E+02	  +2.2836604384306500E+02	
  +8.7125000000000000E+01	  +9.7169938262235679E+04	  +9.7169935703142575E+04	  +1.1230999596611719E+05	  +1.1231000000000000E+05	  +1.4794147636142387E+02	  +1.5740732732577936E+02	  +1.7752470015189536E+02	  +2.2836604380498395E+02	
  +8.7250000000000000E+01	  +9.7169946280043194E+04	  +9.7169938369283904E+04	  +1.1230999881041696E+05	  +1.1231000000000000E+05	  +1.4794147637102893E+02	  +1.5740732732920114E+02	  +1.7752469990446349E+02	  +2.2836604384294463E+02	
  +8.7375000000000000E+01	  +9.7169948252807502E+04	  +9.7169938262235679E+04	  +1.1230999601116133E+05	  +1.1231000000000000E+05	  +1.4794147358039885E+02	  +1.5740732646944008E+02	  +1.7752470071548470E+02	  +2.2836604351388499E+02	
  +8.7500000000000000E+01	  +9.7169940373654696E+04	  +9.7169946280043194E+04	  +1.1231000453233316E+05	  +1.1231000000000000E+05	  +1.4794147329990318E+02	  +1.5740732608156998E+02	  +1.7752470082536468E+02	  +2.2836604487231256E+02	
  +8.7625000000000000E+01	  +9.7169939945659877E+04	  +9.7169948252807502E+04	  +1.1231000844711449E+05	  +1.1231000000000000E+05	  +1.4794147395993554E+02	  +1.5740732592546615E+02	  +1.7752469983223878E+02	  +2.2836604505151976E+02	
  +8.7750000000000000E+01	  +9.7169941394508933E+04	  +9.7169940373654696E+04	  +1.1231000042197312E+05	  +1.1231000000000000E+05	  +1.4794147262135371E+02	  +1.5740732547735385E+02	  +1.7752469966603684E+02	  +2.2836604366556597E+02	
  +8.7875000000000000E+01	  +9.7169934635286118E+04	  +9.7169939945659877E+04	  +1.1231000047712379E+05	  +1.1231000000000000E+05	  +1.4794147295666139E+02	  +1.5740732635073971E+02	  +1.7752470113700880E+02	  +2.2836604352747608E+02	
  +8.8000000000000000E+01	  +9.7169935703142575E+04	  +9.7169941394508933E+04	  +1.1231000132121894E+05	  +1.1231000000000000E+05	  +1.4794147304841198E+02	  +1.5740732616622012E+02	  +1.7752470073848582E+02	  +2.2836604377985367E+02	
  +8.8125000000000000E+01	  +9.7169938369283904E+04	  +9.7169934635286118E+04	  +1.1230999401254101E+05	  +1.1231000000000000E+05	  +1.4794147284780752E+02	  +1.5740732579420850E+02	  +1.7752470007633929E+02	  +2.2836604384306500E+02	
  +8.8250000000000000E+01	  +9.7169938262235679E+04	  +9.7169935703142575E+04	  +1.1230999596611719E+05	  +1.1231000000000000E+05	  +1.4794147636142387E+02	  +1.5740732732577936E+02	  +1.7752470015189536E+02	  +2.2836604380498395E+02	
  +8.8375000000000000E+01	  +9.7169946280043194E+04	  +9.7169938369283904E+04	  +1.1230999881041696E+05	  +1.1231000000000000E+05	  +1.4794147637102893E+02	  +1.5740732732920114E+02	  +1.7752469990446349E+02	  +2.2836604384294463E+02	
  +8.8500000000000000E+01	  +9.7169948252807502E+04	  +9.7169938262235679E+04	  +1.1230999601116133E+05	  +1.1231000000000000E+05	  +1.4794147358039885E+02	  +1.5740732646944008E+02	  +1.7752470071548470E+02	  +2.2836604351388499E+02	
  +8.8625000000000000E+01	  +9.7169940373654696E+04	  +9.7169946280043194E+04	  +1.1231000453233316E+05	  +1.1231000000000000E+05	  +1.4794147329990318E+02	  +1.5740732608156998E+02	  +1.7752470082536468E+02	  +2.2836604487231256E+02	
  +8.8750000000000000E+01	  +9.7169939945659877E+04	  +9.7169948252807502E+04	  +1.1231000844711449E+05	  +1.1231000000000000E+05	  +1.4794147395993554E+02	  +1.5740732592546615E+02	  +1.7752469983223878E+02	  +2.2836604505151976E+02	
  +8.8875000000000000E+01	  +9.7169941394508933E+04	  +9.7169940373654696E+04	  +1.1231000042197312E+05	  +1.1231000000000000E+05	  +1.4794147262135371E+02	  +1.5740732547735385E+02	  +1.7752469966603684E+02	  +2.2836604366556597E+02	
  +8.9000000000000000E+01	  +9.7169934635286118E+04	  +9.7169939945659877E+04	  +1.1231000047712379E+05	  +1.1231000000000000E+05	  +1.4794147295666139E+02	  +1.5740732635073971E+02	  +1.7752470113700880E+02	  +2.2836604352747608E+02	
  +8.9125000000000000E+01	  +9.7169935703142575E+04	  +9.7169941394508933E+04	  +1.1231000132121894E+05	  +1.1231000000000000E+05	  +1.4794147304841198E+02	  +1.5740732616622012E+02	  +1.7752470073848582E+02	  +2.2836604377985367E+02	
  +8.9250000000000000E+01	  +9.7169938369283904E+04	  +9.7169934635286118E+04	  +1.1230999401254101E+05	  +1.1231000000000000E+05	  +1.4794147284780752E+02	  +1.5740732579420850E+02	  +1.7752470007633929E+02	  +2.2836604384306500E+02	
  +8.9375000000000000E+01	  +9.7169938262235679E+04	  +9.7169935703142575E+04	  +1.1230999596611719E+05	  +1.1231000000000000E+05	  +1.4794147636142387E+02	  +1.5740732732577936E+02	  +1.7752470015189536E+02	  +2.2836604380498395E+02	
  +8.9500000000000000E+01	  +9.7169946280043194E+04	  +9.7169938369283904E+04	  +1.1230999881041696E+05	  +1.1231000000000000E+05	  +1.4794147637102893E+02	  +1.5740732732920114E+02	  +1.7752469990446349E+02	  +2.2836604384294463E+02	
  +8.9625000000000000E+01	  +9.7169948252807502E+04	  +9.7169938262235679E+04	  +1.1230999601116133E+05	  +1.1231000000000000E+05	  +1.4794147358039885E+02	  +1.5740732646944008E+02	  +1.7752470071548470E+02	  +2.2836604351388499E+02	
  +8.9750000000000000E+01	  +9.7169940373654696E+04	  +9.7169946280043194E+04	  +1.1231000453233316E+05	  +1.1231000000000000E+05	  +1.4794147329990318E+02	  +1.5740732608156998E+02	  +1.7752470082536468E+02	  +2.2836604487231256E+02	
  +8.9875000000000000E+01	  +9.7169939945659877E+04	  +9.7169948252807502E+04	  +1.1231000844711449E+05	  +1.1231000000000000E+05	  +1.4794147395993554E+02	  +1.5740732592546615E+02	  +1.7752469983223878E+02	  +2.2836604505151976E+02	
  +9.0000000000000000E+01	  +9.7169941394508933E+04	  +9.7169940373654696E+04	  +1.1231000042197312E+05	  +1.1231000000000000E+05	  +1.4794147262135371E+02	  +1.5740732547735385E+02	  +1.7752469966603684E+02	  +2.2836604366556597E+02	
  +9.0125000000000000E+01	  +9.7169934635286118E+04	  +9.7169939945659877E+04	  +1.1231000047712379E+05	  +1.1231000000000000E+05	  +1.4794147295666139E+02	  +1.5740732635073971E+02	  +1.7752470113700880E+02	  +2.2836604352747608E+02	
  +9.0250000000000000E+01	  +9.7169935703142575E+04	  +9.7169941394508933E+04	  +1.1231000132121894E+05	  +1.1231000000000000E+05	  +1.4794147304841198E+02	  +1.5740732616622012E+02	  +1.7752470073848582E+02	  +2.2836604377985367E+02	
  +9.0375000000000000E+01	  +9.7169938369283904E+04	  +9.7169934635286118E+04	  +1.1230999401254101E+05	  +1.1231000000000000E+05	  +1.4794147284780752E+02	  +1.5740732579420850E+02	  +1.7752470007633929E+02	  +2.2836604384306500E+02	
  +9.0500000000000000E+01	  +9.7169938262235679E+04	  +9.7169935703142575E+04	  +1.1230999596611719E+05	  +1.1231000000000000E+05	  +1.4794147636142387E+02	  +1.5740732732577936E+02	  +1.7752470015189536E+02	  +2.2836604380498395E+02	
  +9.0625000000000000E+01	  +9.7169946280043194E+04	  +9.7169938369283904E+04	  +1.1230999881041696E+05	  +1.1231000000000000E+05	  +1.4794147637102893E+02	  +1.5740732732920114E+02	  +1.7752469990446349E+02	  +2.2836604384294463E+02	
  +9.0750000000000000E+01	  +9.7169948252807502E+04	  +9.7169938262235679E+04	  +1.1230999601116133E+05	  +1.1231000000000000E+05	  +1.4794147358039885E+02	  +1.5740732646944008E+02	  +1.7752470071548470E+02	  +2.2836604351388499E+02	
  +9.0875000000000000E+01	  +9.7169940373654696E+04	  +9.7169946280043194E+04	  +1.1231000453233316E+05	  +1.1231000000000000E+05	  +1.4794147329990318E+02	  +1.5740732608156998E+02	  +1.7752470082536468E+02	  +2.2836604487231256E+02	
  +9.1000000000000000E+01	  +9.7169939945659877E+04	  +9.7169948252807502E+04	  +1.1231000844711449E+05	  +1.1231000000000000E+05	  +1.4794147395993554E+02	  +1.5740732592546615E+02	  +1.7752469983223878E+02	  +2.2836604505151976E+02	
  +9.1125000000000000E+01	  +9.7169941394508933E+04	  +9.7169940373654696E+04	  +1.1231000042197312E+05	  +1.1231000000000000E+05	  +1.4794147262135371E+02	  +1.5740732547735385E+02	  +1.7752469966603684E+02	  +2.2836604366556597E+02	
  +9.1250000000000000E+01	  +9.7169934635286118E+04	  +9.7169939945659877E+04	  +1.1231000047712379E+05	  +1.1231000000000000E+05	  +1.4794147295666139E+02	  +1.5740732635073971E+02	  +1.7752470113700880E+02	  +2.2836604352747608E+02	
  +9.1375000000000000E+01	  +9.7169935703142575E+04	  +9.7169941394508933E+04	  +1.1231000132121894E+05	  +1.1231000000000000E+05	  +1.4794147304841198E+02	  +1.5740732616622012E+02	  +1.7752470073848582E+02	  +2.2836604377985367E+02	
  +9.1500000000000000E+01	  +9.7169938369283904E+04	  +9.7169934635286118E+04	  +1.1230999401254101E+05	  +1.1231000000000000E+05	  +1.4794147284780752E+02	  +1.5740732579420850E+02	  +1.7752470007633929E+02	  +2.2836604384306500E+02	
  +9.1625000000000000E+01	  +9.7169938262235679E+04	  +9.7169935703142575E+04	  +1.1230999596611719E+05	  +1.1231000000000000E+05	  +1.4794147636142387E+02	  +1.5740732732577936E+02	  +1.7752470015189536E+02	  +2.2836604380498395E+02	
  +9.1750000000000000E+01	  +9.7169946280043194E+04	  +9.7169938369283904E+04	  +1.1230999881041696E+05	  +1.1231000000000000E+05	  +1.4794147637102893E+02	  +1.5740732732920114E+02	  +1.7752469990446349E+02	  +2.2836604384294463E+02	
  +9.1875000000000000E+01	  +9.7169948252807502E+04	  +9.7169938262235679E+04	  +1.1230999601116133E+05	  +1.1231000000000000E+05	  +1.4794147358039885E+02	  +1.5740732646944008E+02	  +1.7752470071548470E+02	  +2.2836604351388499E+02	
  +9.2000000000000000E+01	  +9.7169940373654696E+04	  +9.7169946280043194E+04	  +1.1231000453233316E+05	  +1.1231000000000000E+05	  +1.4794147329990318E+02	  +1.5740732608156998E+02	  +1.7752470082536468E+02	  +2.2836604487231256E+02	
  +9.2125000000000000E+01	  +9.7169939945659877E+04	  +9.7169948252807502E+04	  +1.1231000844711449E+05	  +1.1231000000000000E+05	  +1.4794147395993554E+02	  +1.5740732592546615E+02	  +1.7752469983223878E+02	  +2.2836604505151976E+02	
  +9.2250000000000000E+01	  +9.7169941394508933E+04	  +9.7169940373654696E+04	  +1.1231000042197312E+05	  +1.1231000000000000E+05	  +1.4794147262135371E+02	  +1.5740732547735385E+02	  +1.7752469966603684E+02	  +2.2836604366556597E+02	
  +9.2375000000000000E+01	  +9.7169934635286118E+04	  +9.7169939945659877E+04	  +1.1231000047712379E+05	  +1.1231000000000000E+05	  +1.4794147295666139E+02	  +1.5740732635073971E+02	  +1.7752470113700880E+02	  +2.2836604352747608E+02	
  +9.2500000000000000E+01	  +9.7169935703142575E+04	  +9.7169941394508933E+04	  +1.1231000132121894E+05	  +1.1231000000000000E+05	  +1.4794147304841198E+02	  +1.5740732616622012E+02	  +1.7752470073848582E+02	  +2.2836604377985367E+02	
  +9.2625000000000000E+01	  +9.7169938369283904E+04	  +9.7169934635286118E+04	  +1.1230999401254101E+05	  +1.1231000000000000E+05	  +1.4794147284780752E+02	  +1.5740732579420850E+02	  +1.7752470007633929E+02	  +2.2836604384306500E+02	
  +9.2750000000000000E+01	  +9.7169938262235679E+04	  +9.7169935703142575E+04	  +1.1230999596611719E+05	  +1.1231000000000000E+05	  +1.4794147636142387E+02	  +1.5740732732577936E+02	  +1.7752470015189536E+02	  +2.2836604380498395E+02	
  +9.2875000000000000E+01	  +9.7169946280043194E+04	  +9.7169938369283904E+04	  +1.1230999881041696E+05	  +1.1231000000000000E+05	  +1.4794147637102893E+02	  +1.5740732732920114E+02	  +1.7752469990446349E+02	  +2.2836604384294463E+02	
  +9.3000000000000000E+01	  +9.7169948252807502E+04	  +9.7169938262235679E+04	  +1.1230999601116133E+05	  +1.1231000000000000E+05	  +1.4794147358039885E+02	  +1.5740732646944008E+02	  +1.7752470071548470E+02	  +2.2836604351388499E+02	
  +9.3125000000000000E+01	  +9.7169940373654696E+04	  +9.7169946280043194E+04	  +1.1231000453233316E+05	  +1.1231000000000000E+05	  +1.4794147329990318E+02	  +1.5740732608156998E+02	  +1.7752470082536468E+02	  +2.2836604487231256E+02	
  +9.3250000000000000E+01	  +9.7169939945659877E+04	  +9.7169948252807502E+04	  +1.1231000844711449E+05	  +1.1231000000000000E+05	  +1.4794147395993554E+02	  +1.5740732592546615E+02	  +1.7752469983223878E+02	  +2.2836604505151976E+02	
  +9.3375000000000000E+01	  +9.7169941394508933E+04	  +9.7169940373654696E+04	  +1.1231000042197312E+05	  +1.1231000000000000E+05	  +1.4794147262135371E+02	  +1.5740732547735385E+02	  +1.7752469966603684E+02	  +2.2836604366556597E+02	
  +9.3500000000000000E+01	  +9.7169934635286118E+04	  +9.7169939945659877E+04	  +1.1231000047712379E+05	  +1.1231000000000000E+05	  +1.4794147295666139E+02	  +1.5740732635073971E+02	  +1.7752470113700880E+02	  +2.2836604352747608E+02	
  +9.3625000000000000E+01	  +9.7169935703142575E+04	  +9.7169941394508933E+04	  +1.1231000132121894E+05	  +1.1231000000000000E+05	  +1.4794147304841198E+02	  +1.5740732616622012E+02	  +1.7752470073848582E+02	  +2.2836604377985367E+02	
  +9.3750000000000000E+01	  +9.7169938369283904E+04	  +9.7169934635286118E+04	  +1.1230999401254101E+05	  +1.1231000000000000E+05	  +1.4794147284780752E+02	  +1.5740732579420850E+02	  +1.7752470007633929E+02	  +2.2836604384306500E+02	
  +9.3875000000000000E+01	  +9.7169938262235679E+04	  +9.7169935703142575E+04	  +1.1230999596611719E+05	  +1.1231000000000000E+05	  +1.4794147636142387E+02	  +1.5740732732577936E+02	  +1.7752470015189536E+02	  +2.2836604380498395E+02	
  +9.4000000000000000E+01	  +9.7169946280043194E+04	  +9.7169938369283904E+04	  +1.1230999881041696E+05	  +1.1231000000000000E+05	  +1.4794147637102893E+02	  +1.5740732732920114E+02	  +1.7752469990446349E+02	  +2.2836604384294463E+02	
  +9.4125000000000000E+01	  +9.7169948252807502E+04	  +9.7169938262235679E+04	  +1.1230999601116133E+05	  +1.1231000000000000E+05	  +1.4794147358039885E+02	  +1.5740732646944008E+02	  +1.7752470071548470E+02	  +2.2836604351388499E+02	
  +9.4250000000000000E+01	  +9.7169940373654696E+04	  +9.7169946280043194E+04	  +1.1231000453233316E+05	  +1.1231000000000000E+05	  +1.4794147329990318E+02	  +1.5740732608156998E+02	  +1.7752470082536468E+02	  +2.2836604487231256E+02	
  +9.4375000000000000E+01	  +9.7169939945659877E+04	  +9.7169948252807502E+04	  +1.1231000844711449E+05	  +1.1231000000000000E+05	  +1.4794147395993554E+02	  +1.5740732592546615E+02	  +1.7752469983223878E+02	  +2.2836604505151976E+02	
  +9.4500000000000000E+01	  +9.7169941394508933E+04	  +9.7169940373654696E+04	  +1.1231000042197312E+05	  +1.1231000000000000E+05	  +1.4794147262135371E+02	  +1.5740732547735385E+02	  +1.7752469966603684E+02	  +2.2836604366556597E+02	
  +9.4625000000000000E+01	  +9.7169934635286118E+04	  +9.7169939945659877E+04	  +1.1231000047712379E+05	  +1.1231000000000000E+05	  +1.4794147295666139E+02	  +1.5740732635073971E+02	  +1.7752470113700880E+02	  +2.2836604352747608E+02	
  +9.4750000000000000E+01	  +9.7169935703142575E+04	  +9.7169941394508933E+04	  +1.1231000132121894E+05	  +1.1231000000000000E+05	  +1.4794147304841198E+02	  +1.5740732616622012E+02	  +1.7752470073848582E+02	  +2.2836604377985367E+02	
  +9.4875000000000000E+01	  +9.7169938369283904E+04	  +9.7169934635286118E+04	  +1.1230999401254101E+05	  +1.1231000000000000E+05	  +1.4794147284780752E+02	  +1.5740732579420850E+02	  +1.7752470007633929E+02	  +2.2836604384306500E+02	
  +9.5000000000000000E+01	  +9.7169938262235679E+04	  +9.7169935703142575E+04	  +1.1230999596611719E+05	  +1.1231000000000000E+05	  +1.4794147636142387E+02	  +1.5740732732577936E+02	  +1.7752470015189536E+02	  +2.2836604380498395E+02	
  +9.5125000000000000E+01	  +9.7169946280043194E+04	  +9.7169938369283904E+04	  +1.1230999881041696E+05	  +1.1231000000000000E+05	  +1.4794147637102893E+02	  +1.5740732732920114E+02	  +1.7752469990446349E+02	  +2.2836604384294463E+02	
  +9.5250000000000000E+01	  +9.7169948252807502E+04	  +9.7169938262235679E+04	  +1.1230999601116133E+05	  +1.1231000000000000E+05	  +1.4794147358039885E+02	  +1.5740732646944008E+02	  +1.7752470071548470E+02	  +2.2836604351388499E+02	
  +9.5375000000000000E+01	  +9.7169940373654696E+04	  +9.7169946280043194E+04	  +1.1231000453233316E+05	  +1.1231000000000000E+05	  +1.4794147329990318E+02	  +1.5740732608156998E+02	  +1.7752470082536468E+02	  +2.2836604487231256E+02	
  +9.5500000000000000E+01	  +9.7169939945659877E+04	  +9.7169948252807502E+04	  +1.1231000844711449E+05	  +1.1231000000000000E+05	  +1.4794147395993554E+02	  +1.5740732592546615E+02	  +1.7752469983223878E+02	  +2.2836604505151976E+02	
  +9.5625000000000000E+01	  +9.7169941394508933E+04	  +9.7169940373654696E+04	  +1.1231000042197312E+05	  +1.1231000000000000E+05	  +1.4794147262135371E+02	  +1.5740732547735385E+02	  +1.7752469966603684E+02	  +2.2836604366556597E+02	
  +9.5750000000000000E+01	  +9.7169934635286118E+04	  +9.7169939945659877E+04	  +1.1231000047712379E+05	  +1.1231000000000000E+05	  +1.4794147295666139E+02	  +1.5740732635073971E+02	  +1.7752470113700880E+02	  +2.2836604352747608E+02	
  +9.5875000000000000E+01	  +9.7169935703142575E+04	  +9.7169941394508933E+04	  +1.1231000132121894E+05	  +1.1231000000000000E+05	  +1.4794147304841198E+02	  +1.5740732616622012E+02	  +1.7752470073848582E+02	  +2.2836604377985367E+02	
  +9.6000000000000000E+01	  +9.7169938369283904E+04	  +9.7169934635286118E+04	  +1.1230999401254101E+05	  +1.1231000000000000E+05	  +1.4794147284780752E+02	  +1.5740732579420850E+02	  +1.7752470007633929E+02	  +2.2836604384306500E+02	
  +9.6125000000000000E+01	  +9.7169938262235679E+04	  +9.7169935703142575E+04	  +1.1230999596611719E+05	  +1.1231000000000000E+05	  +1.4794147636142387E+02	  +1.5740732732577936E+02	  +1.7752470015189536E+02	  +2.2836604380498395E+02	
  +9.6250000000000000E+01	  +9.7169946280043194E+04	  +9.7169938369283904E+04	  +1.1230999881041696E+05	  +1.1231000000000000E+05	  +1.4794147637102893E+02	  +1.5740732732920114E+02	  +1.7752469990446349E+02	  +2.2836604384294463E+02	
  +9.6375000000000000E+01	  +9.7169948252807502E+04	  +9.7169938262235679E+04	  +1.1230999601116133E+05	  +1.1231000000000000E+05	  +1.4794147358039885E+02	  +1.5740732646944008E+02	  +1.7752470071548470E+02	  +2.2836604351388499E+02	
